iteration,timestamp,nvehicles,ntripupdates,what,wall,cpu
51,1567013135,81,66,"loading vehicle positions",9.73246,0.899
51,1567013135,81,66,"updating vehicle information",0.375613,0.274
51,1567013135,81,66,"updating vehicle states",484.236,1193.71
51,1567013135,81,66,"updating network state",0.393708,0.974
51,1567013135,81,66,"predicting ETAs",258.41,632.045
51,1567013135,81,66,"writing ETAs to protobuf feed",215.224,236.852
52,1567013164,80,66,"loading vehicle positions",10.0369,0.87
52,1567013164,80,66,"updating vehicle information",0.370242,0.279
52,1567013164,80,66,"updating vehicle states",519.017,1262.37
52,1567013164,80,66,"updating network state",0.405688,0.798
52,1567013164,80,66,"predicting ETAs",423.56,850.749
52,1567013164,80,66,"writing ETAs to protobuf feed",215.646,237.752
53,1567013194,83,70,"loading vehicle positions",9.82175,0.938
53,1567013194,83,70,"updating vehicle information",0.263172,0.263
53,1567013194,83,70,"updating vehicle states",515.92,1277.55
53,1567013194,83,70,"updating network state",0.424137,0.914
53,1567013194,83,70,"predicting ETAs",417.266,877.92
53,1567013194,83,70,"writing ETAs to protobuf feed",216.918,223.102
54,1567013225,83,71,"loading vehicle positions",9.86026,0.977
54,1567013225,83,71,"updating vehicle information",0.357475,0.293
54,1567013225,83,71,"updating vehicle states",463.182,1177.05
54,1567013225,83,71,"updating network state",0.385953,0.746
54,1567013225,83,71,"predicting ETAs",320.41,708.986
54,1567013225,83,71,"writing ETAs to protobuf feed",218.117,239.697
55,1567013253,84,72,"loading vehicle positions",9.95254,1.019
55,1567013253,84,72,"updating vehicle information",0.294711,0.289
55,1567013253,84,72,"updating vehicle states",513.143,1373.96
55,1567013253,84,72,"updating network state",0.404886,0.69
55,1567013253,84,72,"predicting ETAs",275.546,712.818
55,1567013253,84,72,"writing ETAs to protobuf feed",220.362,239.031
56,1567013283,85,72,"loading vehicle positions",10.0463,0.952
56,1567013283,85,72,"updating vehicle information",0.285247,0.282
56,1567013283,85,72,"updating vehicle states",514.703,1279.95
56,1567013283,85,72,"updating network state",0.398982,0.798
56,1567013283,85,72,"predicting ETAs",367.748,790.823
56,1567013283,85,72,"writing ETAs to protobuf feed",219.094,241.079
57,1567013313,90,74,"loading vehicle positions",9.80359,0.958
57,1567013313,90,74,"updating vehicle information",0.358999,0.304
57,1567013313,90,74,"updating vehicle states",571.414,1457.62
57,1567013313,90,74,"updating network state",0.418142,0.78
57,1567013313,90,74,"predicting ETAs",348.061,855.066
57,1567013313,90,74,"writing ETAs to protobuf feed",220.421,240.73
58,1567013344,91,74,"loading vehicle positions",10.0341,0.976
58,1567013344,91,74,"updating vehicle information",0.29027,0.291
58,1567013344,91,74,"updating vehicle states",730.067,1420.76
58,1567013344,91,74,"updating network state",0.385957,0.772
58,1567013344,91,74,"predicting ETAs",2390.46,2896.16
58,1567013344,91,74,"writing ETAs to protobuf feed",221.014,240.62
59,1567013374,99,77,"loading vehicle positions",10.3403,1.195
59,1567013374,99,77,"updating vehicle information",0.662098,0.416
59,1567013374,99,77,"updating vehicle states",512.128,1113.68
59,1567013374,99,77,"updating network state",0.471536,1.319
59,1567013374,99,77,"predicting ETAs",427.536,814.919
59,1567013374,99,77,"writing ETAs to protobuf feed",215.705,237.857
60,1567013403,103,79,"loading vehicle positions",10.214,0.988
60,1567013403,103,79,"updating vehicle information",0.536677,0.387
60,1567013403,103,79,"updating vehicle states",651.213,1434.35
60,1567013403,103,79,"updating network state",0.690894,1.775
60,1567013403,103,79,"predicting ETAs",426.949,899.441
60,1567013403,103,79,"writing ETAs to protobuf feed",226.94,237.682
61,1567013433,106,92,"loading vehicle positions",9.89568,1.007
61,1567013433,106,92,"updating vehicle information",0.402314,0.403
61,1567013433,106,92,"updating vehicle states",739.743,1737.17
61,1567013433,106,92,"updating network state",0.422263,1.071
61,1567013433,106,92,"predicting ETAs",419.662,873.63
61,1567013433,106,92,"writing ETAs to protobuf feed",217.975,227.64
62,1567013464,109,95,"loading vehicle positions",9.98142,1.132
62,1567013464,109,95,"updating vehicle information",0.335224,0.335
62,1567013464,109,95,"updating vehicle states",847.907,1834.41
62,1567013464,109,95,"updating network state",0.605157,1.438
62,1567013464,109,95,"predicting ETAs",378.132,920.635
62,1567013464,109,95,"writing ETAs to protobuf feed",220.015,239.312
63,1567013495,110,98,"loading vehicle positions",10.0665,1.116
63,1567013495,110,98,"updating vehicle information",0.361147,0.361
63,1567013495,110,98,"updating vehicle states",859.789,1746.84
63,1567013495,110,98,"updating network state",0.468833,1
63,1567013495,110,98,"predicting ETAs",346.674,826.116
63,1567013495,110,98,"writing ETAs to protobuf feed",222.981,238.572
64,1567013525,112,99,"loading vehicle positions",10.2353,1.174
64,1567013525,112,99,"updating vehicle information",0.370387,0.37
64,1567013525,112,99,"updating vehicle states",880.322,1921.13
64,1567013525,112,99,"updating network state",0.517519,0.958
64,1567013525,112,99,"predicting ETAs",392.396,980.013
64,1567013525,112,99,"writing ETAs to protobuf feed",217.618,233.93
65,1567013555,114,99,"loading vehicle positions",10.1099,1.097
65,1567013555,114,99,"updating vehicle information",0.362461,0.363
65,1567013555,114,99,"updating vehicle states",734.489,1804.41
65,1567013555,114,99,"updating network state",0.479367,1.077
65,1567013555,114,99,"predicting ETAs",405.569,947.759
65,1567013555,114,99,"writing ETAs to protobuf feed",218.633,240.176
66,1567013585,114,100,"loading vehicle positions",10.2306,1.151
66,1567013585,114,100,"updating vehicle information",0.359318,0.359
66,1567013585,114,100,"updating vehicle states",876.547,1956.24
66,1567013585,114,100,"updating network state",0.41276,1.238
66,1567013585,114,100,"predicting ETAs",552.545,1111.36
66,1567013585,114,100,"writing ETAs to protobuf feed",219.089,231.816
67,1567013613,117,104,"loading vehicle positions",10.1139,1.146
67,1567013613,117,104,"updating vehicle information",0.512203,0.426
67,1567013613,117,104,"updating vehicle states",982.871,2085.36
67,1567013613,117,104,"updating network state",0.430083,0.81
67,1567013613,117,104,"predicting ETAs",438.991,975.217
67,1567013613,117,104,"writing ETAs to protobuf feed",219.286,238.479
68,1567013643,118,104,"loading vehicle positions",10.3425,1.213
68,1567013643,118,104,"updating vehicle information",0.42035,0.421
68,1567013643,118,104,"updating vehicle states",846.331,1871.95
68,1567013643,118,104,"updating network state",0.473297,1.327
68,1567013643,118,104,"predicting ETAs",1239.86,1919.44
68,1567013643,118,104,"writing ETAs to protobuf feed",218.245,239.156
69,1567013673,121,104,"loading vehicle positions",10.3087,1.295
69,1567013673,121,104,"updating vehicle information",0.458113,0.402
69,1567013673,121,104,"updating vehicle states",671.674,1623.47
69,1567013673,121,104,"updating network state",0.465319,1.183
69,1567013673,121,104,"predicting ETAs",344.693,817.855
69,1567013673,121,104,"writing ETAs to protobuf feed",217.825,239.605
70,1567013703,122,107,"loading vehicle positions",10.117,1.173
70,1567013703,122,107,"updating vehicle information",0.466332,0.424
70,1567013703,122,107,"updating vehicle states",1091.41,2058.26
70,1567013703,122,107,"updating network state",0.409027,1.227
70,1567013703,122,107,"predicting ETAs",362.719,854.217
70,1567013703,122,107,"writing ETAs to protobuf feed",218.741,240.394
71,1567013733,124,109,"loading vehicle positions",10.1094,1.255
71,1567013733,124,109,"updating vehicle information",0.511767,0.438
71,1567013733,124,109,"updating vehicle states",1174.21,2251.42
71,1567013733,124,109,"updating network state",0.405912,1.217
71,1567013733,124,109,"predicting ETAs",358.687,871.921
71,1567013733,124,109,"writing ETAs to protobuf feed",218.551,240.844
72,1567013763,126,108,"loading vehicle positions",10.3788,1.237
72,1567013763,126,108,"updating vehicle information",0.417325,0.417
72,1567013763,126,108,"updating vehicle states",1078.88,2285.07
72,1567013763,126,108,"updating network state",0.487395,0.974
72,1567013763,126,108,"predicting ETAs",578.601,1237.28
72,1567013763,126,108,"writing ETAs to protobuf feed",221.159,243.569
73,1567013793,126,106,"loading vehicle positions",10.4029,1.358
73,1567013793,126,106,"updating vehicle information",0.459134,0.459
73,1567013793,126,106,"updating vehicle states",1144.76,2303.35
73,1567013793,126,106,"updating network state",0.489864,1.392
73,1567013793,126,106,"predicting ETAs",432.692,1040.38
73,1567013793,126,106,"writing ETAs to protobuf feed",228.86,245.75
74,1567013823,128,106,"loading vehicle positions",10.8332,1.414
74,1567013823,128,106,"updating vehicle information",0.584002,0.482
74,1567013823,128,106,"updating vehicle states",997.171,2243.38
74,1567013823,128,106,"updating network state",0.414376,1.243
74,1567013823,128,106,"predicting ETAs",369.747,933.104
74,1567013823,128,106,"writing ETAs to protobuf feed",220.652,229.636
75,1567013854,131,109,"loading vehicle positions",10.3719,1.326
75,1567013854,131,109,"updating vehicle information",0.627724,0.504
75,1567013854,131,109,"updating vehicle states",980.331,2294.86
75,1567013854,131,109,"updating network state",0.432498,0.751
75,1567013854,131,109,"predicting ETAs",385.82,957.996
75,1567013854,131,109,"writing ETAs to protobuf feed",259.292,243.675
76,1567013884,133,112,"loading vehicle positions",10.269,1.386
76,1567013884,133,112,"updating vehicle information",0.590281,0.491
76,1567013884,133,112,"updating vehicle states",1023.58,2304.95
76,1567013884,133,112,"updating network state",0.420444,1.019
76,1567013884,133,112,"predicting ETAs",500.526,1083.53
76,1567013884,133,112,"writing ETAs to protobuf feed",225.804,246.862
77,1567013914,134,113,"loading vehicle positions",10.4325,1.392
77,1567013914,134,113,"updating vehicle information",0.491831,0.481
77,1567013914,134,113,"updating vehicle states",953.857,2204.39
77,1567013914,134,113,"updating network state",0.752198,1.928
77,1567013914,134,113,"predicting ETAs",386.928,959.54
77,1567013914,134,113,"writing ETAs to protobuf feed",224.758,242.977
78,1567013944,133,109,"loading vehicle positions",10.2368,1.362
